periodo_contable,tipo_indicador,nombre_campo,total_registros,cantidad_mala,porcentaje,es_total
202508,completitud,CEDIDAS_TERREMOTO · 263005 · AA,125146,0,100.0,False
202508,completitud,CEDIDAS_TERREMOTO · 263005 · AL,37287,0,100.0,False
202508,completitud,CEDIDAS_TERREMOTO · 410305 · AA,69938,0,100.0,False
202508,completitud,CEDIDAS_TERREMOTO · 410305 · AL,13745,0,100.0,False
202508,completitud,CEDIDAS_TERREMOTO · 510305 · AA,55208,0,100.0,False
202508,completitud,CEDIDAS_TERREMOTO · 510305 · AL,23542,0,100.0,False
202508,completitud,DIRECTA_IAXIS · 410305 · AA,48950,0,100.0,False
202508,completitud,DIRECTA_IAXIS · 410305 · AL,3243169,0,100.0,False
202508,completitud,DIRECTA_IAXIS · 410310 · AA,6397,0,100.0,False
202508,completitud,DIRECTA_IAXIS · 410310 · AL,489857,0,100.0,False
202508,completitud,DIRECTA_IAXIS · 410315 · AL,55523,0,100.0,False
202508,completitud,DIRECTA_IAXIS · 510305 · AA,308879,0,100.0,False
202508,completitud,DIRECTA_IAXIS · 510305 · AL,10805853,0,100.0,False
202508,completitud,DIRECTA_IAXIS · 510310 · AA,69288,0,100.0,False
202508,completitud,DIRECTA_IAXIS · 510310 · AL,2017636,0,100.0,False
202508,completitud,DIRECTA_IAXIS · 510315 · AL,68916,0,100.0,False
202508,completitud,TOTAL_PERIODO,17505350,0,100.0,True
202508,disponibilidad,disponibilidad_carga,20,0,100.0,True
202508,disponibilidad,frescura_carga,4,0,100.0,True
202508,disponibilidad,valores_en_cero,17505350,15455,99.91,True
202508,validez,CEDIDAS_AS400 · 410305 · AA,3550,0,100.0,False
202508,validez,CEDIDAS_AS400 · 510305 · AA,5584,0,100.0,False
202508,validez,CEDIDAS_IAXIS · 410305 · AL,654,0,100.0,False
202508,validez,CEDIDAS_IAXIS · 510305 · AL,56228,0,100.0,False
202508,validez,CEDIDAS_TERREMOTO · 263005 · AA,125146,0,100.0,False
202508,validez,CEDIDAS_TERREMOTO · 263005 · AL,37287,0,100.0,False
202508,validez,CEDIDAS_TERREMOTO · 410305 · AA,69938,0,100.0,False
202508,validez,CEDIDAS_TERREMOTO · 410305 · AL,13745,0,100.0,False
202508,validez,CEDIDAS_TERREMOTO · 510305 · AA,55208,0,100.0,False
202508,validez,CEDIDAS_TERREMOTO · 510305 · AL,23542,0,100.0,False
202508,validez,DIRECTA_IAXIS · 410305 · AA,48950,0,100.0,False
202508,validez,DIRECTA_IAXIS · 410305 · AL,3243169,0,100.0,False
202508,validez,DIRECTA_IAXIS · 410310 · AA,6397,0,100.0,False
202508,validez,DIRECTA_IAXIS · 410310 · AL,489857,0,100.0,False
202508,validez,DIRECTA_IAXIS · 410315 · AL,55523,0,100.0,False
202508,validez,DIRECTA_IAXIS · 510305 · AA,308879,0,100.0,False
202508,validez,DIRECTA_IAXIS · 510305 · AL,10805853,0,100.0,False
202508,validez,DIRECTA_IAXIS · 510310 · AA,69288,0,100.0,False
202508,validez,DIRECTA_IAXIS · 510310 · AL,2017636,0,100.0,False
202508,validez,DIRECTA_IAXIS · 510315 · AL,68916,0,100.0,False
202508,validez,TOTAL_PERIODO,17505350,0,100.0,True
202508,variacion,CEDIDAS_AS400 · 410305 · AA,3550,0,93.06,False
202508,variacion,CEDIDAS_AS400 · 510305 · AA,5584,5584,0.0,False
202508,variacion,CEDIDAS_IAXIS · 410305 · AL,654,654,39.59,False
202508,variacion,CEDIDAS_IAXIS · 510305 · AL,56228,56228,0.0,False
202508,variacion,CEDIDAS_TERREMOTO · 263005 · AA,125146,125146,0.0,False
202508,variacion,CEDIDAS_TERREMOTO · 263005 · AL,37287,37287,73.74,False
202508,variacion,CEDIDAS_TERREMOTO · 410305 · AA,69938,69938,0.0,False
202508,variacion,CEDIDAS_TERREMOTO · 410305 · AL,13745,13745,19.81,False
202508,variacion,CEDIDAS_TERREMOTO · 510305 · AA,55208,55208,0.0,False
202508,variacion,CEDIDAS_TERREMOTO · 510305 · AL,23542,0,82.29,False
202508,variacion,DIRECTA_IAXIS · 410305 · AA,48950,48950,47.87,False
202508,variacion,DIRECTA_IAXIS · 410305 · AL,3243169,0,83.61,False
202508,variacion,DIRECTA_IAXIS · 410310 · AA,6397,0,81.65,False
202508,variacion,DIRECTA_IAXIS · 410310 · AL,489857,0,80.15,False
202508,variacion,DIRECTA_IAXIS · 410315 · AL,55523,0,81.26,False
202508,variacion,DIRECTA_IAXIS · 510305 · AA,308879,308879,0.0,False
202508,variacion,DIRECTA_IAXIS · 510305 · AL,10805853,0,87.78,False
202508,variacion,DIRECTA_IAXIS · 510310 · AA,69288,69288,0.0,False
202508,variacion,DIRECTA_IAXIS · 510310 · AL,2017636,0,87.88,False
202508,variacion,DIRECTA_IAXIS · 510315 · AL,68916,68916,62.32,False
202508,variacion,TOTAL_PERIODO,17505350,859823,46.05,True
202509,completitud,CEDIDAS_AS400 · 410305 · AA,3429,0,100.0,False
